symbol,conf.,open,high,low,close,ltp,close - ltp,close - ltp %,vwap,vol,prev. close,turnover,trans.,diff,range,diff %,range %,vwap %,120 days,180 days,52 weeks high,52 weeks low,source_file,tradedate
API,32.57,286.1,292.0,284.2,287.28,287.0,0.28,0.0,287.62,104913.0,289.54,30174814.8,405,-2.26,7.8,-0.78,2.74,-0.12,293.22,286.92,342.0,246.2,09_10_2025.csv,2025-09-10
AVYAN,38.29,987.0,1000.0,980.1,993.45,990.0,3.45,0.0,990.86,4156.0,992.0,4118028.0,82,1.45,19.9,0.15,2.03,0.26,1046.61,1065.91,1306.8,832.0,09_10_2025.csv,2025-09-10
BARUN,30.76,328.0,328.9,315.0,315.7,315.4,0.3,0.0,319.14,58850.0,327.5,18781565.6,262,-11.8,13.9,-3.6,4.41,-1.09,446.84,449.07,589.0,296.1,09_10_2025.csv,2025-09-10
BBC,32.84,5150.0,5200.0,4899.0,5046.38,5104.0,-57.62,-0.01,5092.58,2459.0,5234.9,12522647.2,127,-188.52,301.0,-3.6,6.14,-0.92,5582.67,5659.34,7247.0,4010.0,09_10_2025.csv,2025-09-10
BEDC,27.77,627.0,633.0,620.0,623.58,622.0,1.58,0.0,627.04,9876.0,636.88,6192672.2,78,-13.3,13.0,-2.09,2.1,-0.56,734.09,748.6,1080.0,417.1,09_10_2025.csv,2025-09-10
BFC,32.52,484.0,484.0,464.0,465.09,464.1,0.99,0.0,465.91,12021.0,474.89,5600675.5,86,-9.8,20.0,-2.06,4.31,-0.18,511.41,560.61,951.6,456.0,09_10_2025.csv,2025-09-10
BGWT,33.81,890.0,895.0,857.1,882.5,882.0,0.5,0.0,874.15,4635.0,895.16,4051689.5,79,-12.66,37.9,-1.41,4.42,0.95,956.65,994.28,1241.0,857.1,09_10_2025.csv,2025-09-10
BHCL,23.41,470.0,483.8,455.1,458.92,456.0,2.92,0.01,465.87,53608.0,475.82,24974366.2,1736,-16.9,28.7,-3.55,6.31,-1.51,0.0,0.0,625.7,292.1,09_10_2025.csv,2025-09-10
BHDC,39.04,575.59,586.0,560.0,562.12,560.0,2.12,0.0,575.65,56150.0,582.76,32322966.3,257,-20.64,26.0,-3.54,4.64,-2.41,538.09,586.01,760.2,426.0,09_10_2025.csv,2025-09-10
BHL,27.13,188.7,189.0,184.0,184.1,184.2,-0.1,0.0,184.99,122783.0,187.91,22713241.2,626,-3.81,5.0,-2.03,2.72,-0.48,230.89,275.93,520.0,184.0,09_10_2025.csv,2025-09-10
BHPL,28.0,705.0,705.0,667.6,671.55,671.0,0.55,0.0,678.89,5124.0,709.0,3478608.1,89,-37.45,37.4,-5.28,5.6,-1.09,885.83,917.56,1308.4,654.0,09_10_2025.csv,2025-09-10
BNHC,28.17,486.0,503.2,477.0,479.46,477.9,1.56,0.0,484.36,18318.0,493.36,8872585.5,116,-13.9,26.2,-2.82,5.49,-1.02,514.36,516.55,619.0,440.0,09_10_2025.csv,2025-09-10
BNT,26.59,11550.0,11550.0,11450.0,11451.0,11451.0,0.0,0.0,11514.62,93.0,11550.0,1070860.0,6,-99.0,100.0,-0.86,0.87,-0.56,12624.6,12959.25,15620.0,11450.0,09_10_2025.csv,2025-09-10
BPCL,32.73,832.0,832.0,793.0,800.21,798.0,2.21,0.0,802.89,124839.0,815.76,100232360.5,452,-15.55,39.0,-1.91,4.92,-0.34,670.81,582.29,1065.0,375.1,09_10_2025.csv,2025-09-10
C30MF,26.48,9.1,9.1,9.09,9.09,9.09,0.0,0.0,9.09,2400.0,9.2,21821.0,5,-0.11,0.01,-1.2,0.11,-0.02,9.65,9.52,10.71,8.65,09_10_2025.csv,2025-09-10
CBBL,26.44,1027.6,1032.5,1007.5,1013.5,1010.0,3.5,0.0,1014.34,31968.0,1029.76,32426350.2,302,-16.26,25.0,-1.58,2.48,-0.08,936.1,917.41,1144.8,821.5,09_10_2025.csv,2025-09-10
CCBD88,38.34,1140.0,1140.0,1140.0,1140.0,1140.0,0.0,0.0,1140.0,25.0,1160.0,28500.0,1,-20.0,0.0,-1.72,0.0,0.0,1151.64,1131.67,1250.0,1074.7,09_10_2025.csv,2025-09-10
CFCL,29.48,496.9,496.9,483.0,483.35,486.0,-2.65,-0.01,485.42,6797.0,489.88,3299404.5,51,-6.53,13.9,-1.33,2.88,-0.43,539.58,560.73,745.9,457.7,09_10_2025.csv,2025-09-10
